age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,outcome_object,location,operation,officer_defined_ethnicity,type,operation_name,object_of_search
over 34,A no further action disposal,True,Other ethnic group - Not stated,Female,Misuse of Drugs Act 1971 (section 23),,2019-05-08T04:30:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539189', 'street': {'id': 964900, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.142008'}",False,Asian,Person search,,Controlled drugs
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-14T15:00:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.540369', 'street': {'id': 964925, 'name': 'On or near Camden High Street'}, 'longitude': '-0.143878'}",False,Black,Person search,,Controlled drugs
18-24,Arrest,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-13T15:45:00+00:00,,"{'id': 'bu-arrest', 'name': 'Arrest'}","{'latitude': '51.535437', 'street': {'id': 964840, 'name': 'On or near Symes Mews'}, 'longitude': '-0.139638'}",False,Black,Person search,,Controlled drugs
25-34,Community resolution,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-14T12:20:00+00:00,,"{'id': 'bu-community-resolution', 'name': 'Community resolution'}","{'latitude': '51.539681', 'street': {'id': 964928, 'name': 'On or near Nightclub'}, 'longitude': '-0.142998'}",False,Black,Person search,,Controlled drugs
25-34,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-14T17:00:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.540369', 'street': {'id': 964925, 'name': 'On or near Camden High Street'}, 'longitude': '-0.143878'}",False,Black,Person search,,Controlled drugs
over 34,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-14T17:03:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.541025', 'street': {'id': 964917, 'name': 'On or near Hawley Crescent'}, 'longitude': '-0.143231'}",False,Black,Person search,,Controlled drugs
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-14T18:40:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.529035', 'street': {'id': 960682, 'name': 'On or near Cumberland Market'}, 'longitude': '-0.142508'}",False,White,Person search,,Controlled drugs
18-24,A no further action disposal,True,Other ethnic group - Any other ethnic group,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-14T18:30:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.527306', 'street': {'id': 960923, 'name': 'On or near Seaford Street'}, 'longitude': '-0.120305'}",False,Other,Person search,,Controlled drugs
,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-14T18:30:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.527306', 'street': {'id': 960923, 'name': 'On or near Seaford Street'}, 'longitude': '-0.120305'}",False,Black,Person search,,Offensive weapons
,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-14T18:30:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.527306', 'street': {'id': 960923, 'name': 'On or near Seaford Street'}, 'longitude': '-0.120305'}",False,Black,Person search,,Offensive weapons
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-15T14:15:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.530732', 'street': {'id': 960939, 'name': 'On or near Lorenzo Street'}, 'longitude': '-0.116934'}",False,White,Person search,,Controlled drugs
over 34,A no further action disposal,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-15T16:10:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.525084', 'street': {'id': 960650, 'name': 'On or near Tottenham Court Road'}, 'longitude': '-0.138344'}",False,Black,Person search,,Controlled drugs
10-17,A no further action disposal,True,Asian/Asian British - Bangladeshi,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-15T15:15:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.527620', 'street': {'id': 960640, 'name': 'On or near Parking Area'}, 'longitude': '-0.138342'}",False,Asian,Person search,,Controlled drugs
18-24,Community resolution,True,Asian/Asian British - Bangladeshi,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-15T18:25:00+00:00,,"{'id': 'bu-community-resolution', 'name': 'Community resolution'}","{'latitude': '51.529141', 'street': {'id': 960979, 'name': 'On or near Argyle Square'}, 'longitude': '-0.122017'}",False,Asian,Person search,,Controlled drugs
25-34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),,2019-05-15T16:02:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.533015', 'street': {'id': 964996, 'name': 'On or near Lidlington Place'}, 'longitude': '-0.137184'}",False,White,Person search,,Controlled drugs
over 34,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-15T16:03:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.533015', 'street': {'id': 964996, 'name': 'On or near Lidlington Place'}, 'longitude': '-0.137184'}",False,White,Person search,,Controlled drugs
25-34,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-15T16:03:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.533015', 'street': {'id': 964996, 'name': 'On or near Lidlington Place'}, 'longitude': '-0.137184'}",False,White,Person search,,Controlled drugs
25-34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),,2019-05-15T16:03:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.533015', 'street': {'id': 964996, 'name': 'On or near Lidlington Place'}, 'longitude': '-0.137184'}",False,White,Person search,,Controlled drugs
25-34,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-15T16:03:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.533015', 'street': {'id': 964996, 'name': 'On or near Lidlington Place'}, 'longitude': '-0.137184'}",False,White,Person search,,Controlled drugs
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-15T18:55:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.530983', 'street': {'id': 960928, 'name': 'On or near Pentonville Road'}, 'longitude': '-0.119707'}",False,Black,Person search,,Controlled drugs
18-24,A no further action disposal,True,Asian/Asian British - Bangladeshi,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-15T18:20:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.529141', 'street': {'id': 960979, 'name': 'On or near Argyle Square'}, 'longitude': '-0.122017'}",False,Asian,Person search,,Controlled drugs
over 34,Community resolution,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-16T17:23:00+00:00,,"{'id': 'bu-community-resolution', 'name': 'Community resolution'}","{'latitude': '51.522483', 'street': {'id': 960593, 'name': 'On or near Further/Higher Educational Building'}, 'longitude': '-0.127452'}",False,White,Person search,,Controlled drugs
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-15T17:25:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.522483', 'street': {'id': 960593, 'name': 'On or near Further/Higher Educational Building'}, 'longitude': '-0.127452'}",False,White,Person search,,Controlled drugs
over 34,A no further action disposal,True,White - Irish,Female,Misuse of Drugs Act 1971 (section 23),,2019-05-16T02:53:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.544006', 'street': {'id': 964852, 'name': ""On or near Reed'S Place""}, 'longitude': '-0.140125'}",False,White,Person search,,Controlled drugs
over 34,Community resolution,True,Black/African/Caribbean/Black British - Caribbean,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-16T02:50:00+00:00,,"{'id': 'bu-community-resolution', 'name': 'Community resolution'}","{'latitude': '51.544006', 'street': {'id': 964852, 'name': ""On or near Reed'S Place""}, 'longitude': '-0.140125'}",False,Black,Person and Vehicle search,,Controlled drugs
25-34,A no further action disposal,True,Asian/Asian British - Any other Asian background,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-16T13:00:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.526393', 'street': {'id': 960676, 'name': 'On or near Foundry Mews'}, 'longitude': '-0.138046'}",False,Asian,Person search,,Controlled drugs
25-34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-16T18:40:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.527992', 'street': {'id': 960687, 'name': 'On or near Clarence Gardens'}, 'longitude': '-0.142536'}",False,White,Person and Vehicle search,,Controlled drugs
over 34,A no further action disposal,True,Other ethnic group - Any other ethnic group,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-16T23:50:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539189', 'street': {'id': 964900, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.142008'}",False,Other,Person search,,Controlled drugs
25-34,Community resolution,True,Other ethnic group - Any other ethnic group,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-16T17:30:00+00:00,,"{'id': 'bu-community-resolution', 'name': 'Community resolution'}","{'latitude': '51.524731', 'street': {'id': 960973, 'name': 'On or near Brunswick Square'}, 'longitude': '-0.122948'}",False,White,Person search,,Controlled drugs
18-24,A no further action disposal,True,Other ethnic group - Any other ethnic group,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-16T17:30:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.524731', 'street': {'id': 960973, 'name': 'On or near Brunswick Square'}, 'longitude': '-0.122948'}",False,White,Person search,,Controlled drugs
18-24,A no further action disposal,True,Other ethnic group - Any other ethnic group,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-16T13:43:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.525234', 'street': {'id': 960527, 'name': 'On or near Tavistock Square'}, 'longitude': '-0.128521'}",False,White,Person search,,Stolen goods
18-24,A no further action disposal,True,Asian/Asian British - Any other Asian background,Female,Misuse of Drugs Act 1971 (section 23),,2019-05-17T13:15:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.522483', 'street': {'id': 960593, 'name': 'On or near Further/Higher Educational Building'}, 'longitude': '-0.127452'}",False,White,Person search,,Controlled drugs
25-34,Community resolution,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-17T12:22:00+00:00,,"{'id': 'bu-community-resolution', 'name': 'Community resolution'}","{'latitude': '51.522483', 'street': {'id': 960593, 'name': 'On or near Further/Higher Educational Building'}, 'longitude': '-0.127452'}",False,White,Person search,,Controlled drugs
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-17T14:17:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.522483', 'street': {'id': 960593, 'name': 'On or near Further/Higher Educational Building'}, 'longitude': '-0.127452'}",False,White,Person search,,Controlled drugs
18-24,A no further action disposal,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-17T14:15:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.522483', 'street': {'id': 960593, 'name': 'On or near Further/Higher Educational Building'}, 'longitude': '-0.127452'}",False,White,Person search,,Controlled drugs
18-24,Community resolution,True,Asian/Asian British - Any other Asian background,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-17T17:30:00+00:00,,"{'id': 'bu-community-resolution', 'name': 'Community resolution'}","{'latitude': '51.526642', 'street': {'id': 960926, 'name': 'On or near Regent Square'}, 'longitude': '-0.121515'}",False,Asian,Person search,,Controlled drugs
25-34,A no further action disposal,True,Asian/Asian British - Any other Asian background,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-17T17:30:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.522483', 'street': {'id': 960593, 'name': 'On or near Further/Higher Educational Building'}, 'longitude': '-0.127452'}",False,Asian,Person search,,Controlled drugs
18-24,Community resolution,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-17T16:08:00+00:00,,"{'id': 'bu-community-resolution', 'name': 'Community resolution'}","{'latitude': '51.526393', 'street': {'id': 960676, 'name': 'On or near Foundry Mews'}, 'longitude': '-0.138046'}",False,Black,Person search,,Controlled drugs
10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-17T19:30:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.530644', 'street': {'id': 960946, 'name': ""On or near King'S Cross Bridge""}, 'longitude': '-0.120975'}",False,White,Person search,,Offensive weapons
18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-18T01:00:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539681', 'street': {'id': 964928, 'name': 'On or near Nightclub'}, 'longitude': '-0.142998'}",False,White,Person and Vehicle search,,Offensive weapons
25-34,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-18T10:38:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539189', 'street': {'id': 964900, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.142008'}",False,Black,Person search,,Controlled drugs
,A no further action disposal,True,Asian/Asian British - Pakistani,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-18T13:10:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.529141', 'street': {'id': 960979, 'name': 'On or near Argyle Square'}, 'longitude': '-0.122017'}",False,Asian,Person search,,Controlled drugs
25-34,A no further action disposal,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-18T11:40:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539189', 'street': {'id': 964900, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.142008'}",False,Black,Person search,,Controlled drugs
25-34,A no further action disposal,True,White - Any other White background,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-18T14:30:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.534912', 'street': {'id': 964885, 'name': 'On or near Camden High Street'}, 'longitude': '-0.138823'}",False,White,Person search,,Offensive weapons
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-17T20:28:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539681', 'street': {'id': 964928, 'name': 'On or near Nightclub'}, 'longitude': '-0.142998'}",False,Black,Person search,,Offensive weapons
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-17T20:30:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539681', 'street': {'id': 964928, 'name': 'On or near Nightclub'}, 'longitude': '-0.142998'}",False,Black,Person search,,Controlled drugs
,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-18T19:55:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.540592', 'street': {'id': 964929, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.144316'}",False,Black,Person search,,Controlled drugs
25-34,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-18T19:05:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539189', 'street': {'id': 964900, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.142008'}",False,Black,Person search,,Offensive weapons
over 34,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-19T01:30:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.540369', 'street': {'id': 964925, 'name': 'On or near Camden High Street'}, 'longitude': '-0.143878'}",False,,Person search,,Controlled drugs
18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-19T01:15:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539189', 'street': {'id': 964900, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.142008'}",False,White,Person search,,Controlled drugs
25-34,A no further action disposal,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-19T01:30:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.540369', 'street': {'id': 964925, 'name': 'On or near Camden High Street'}, 'longitude': '-0.143878'}",False,White,Person search,,Controlled drugs
18-24,Community resolution,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-18T23:05:00+00:00,,"{'id': 'bu-community-resolution', 'name': 'Community resolution'}","{'latitude': '51.540169', 'street': {'id': 965087, 'name': 'On or near Jamestown Road'}, 'longitude': '-0.145977'}",False,White,Person search,,Controlled drugs
18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-18T22:45:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.540169', 'street': {'id': 965087, 'name': 'On or near Jamestown Road'}, 'longitude': '-0.145977'}",False,White,Person search,,Controlled drugs
10-17,Community resolution,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-18T22:35:00+00:00,,"{'id': 'bu-community-resolution', 'name': 'Community resolution'}","{'latitude': '51.540169', 'street': {'id': 965087, 'name': 'On or near Jamestown Road'}, 'longitude': '-0.145977'}",False,White,Person search,,Controlled drugs
18-24,Community resolution,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-18T22:51:00+00:00,,"{'id': 'bu-community-resolution', 'name': 'Community resolution'}","{'latitude': '51.540169', 'street': {'id': 965087, 'name': 'On or near Jamestown Road'}, 'longitude': '-0.145977'}",False,White,Person search,,Controlled drugs
over 34,A no further action disposal,True,White - Any other White background,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-19T05:05:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.522483', 'street': {'id': 960593, 'name': 'On or near Further/Higher Educational Building'}, 'longitude': '-0.127452'}",False,White,Person search,,Evidence of offences under the Act
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),,2019-05-19T14:20:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.523469', 'street': {'id': 960515, 'name': 'On or near Parking Area'}, 'longitude': '-0.126114'}",False,White,Person search,,Stolen goods
18-24,A no further action disposal,True,Asian/Asian British - Any other Asian background,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-18T21:25:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.540592', 'street': {'id': 964929, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.144316'}",False,White,Person search,,Controlled drugs
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-18T19:11:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539189', 'street': {'id': 964900, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.142008'}",False,Black,Person search,,Offensive weapons
18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-19T01:17:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539189', 'street': {'id': 964900, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.142008'}",False,White,Person search,,Offensive weapons
25-34,Community resolution,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-19T16:29:00+00:00,,"{'id': 'bu-community-resolution', 'name': 'Community resolution'}","{'latitude': '51.540169', 'street': {'id': 965087, 'name': 'On or near Jamestown Road'}, 'longitude': '-0.145977'}",False,White,Person search,,Controlled drugs
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-18T21:00:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.540592', 'street': {'id': 964929, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.144316'}",False,Black,Person search,,Controlled drugs
18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-19T02:20:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539189', 'street': {'id': 964900, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.142008'}",False,White,Person search,,Offensive weapons
25-34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),,2019-05-17T11:30:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.536713', 'street': {'id': 964611, 'name': 'On or near York Way'}, 'longitude': '-0.122080'}",False,White,Person search,,Stolen goods
over 34,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-20T09:00:00+00:00,,"{'id': 'bu-arrest', 'name': 'Arrest'}","{'latitude': '51.524731', 'street': {'id': 960973, 'name': 'On or near Brunswick Square'}, 'longitude': '-0.122948'}",False,White,Person search,,Controlled drugs
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-20T15:20:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.533930', 'street': {'id': 964991, 'name': 'On or near Chenies Place'}, 'longitude': '-0.130212'}",False,White,Person search,,Controlled drugs
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),,2019-05-20T15:25:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.533930', 'street': {'id': 964991, 'name': 'On or near Chenies Place'}, 'longitude': '-0.130212'}",False,White,Person search,,Controlled drugs
10-17,A no further action disposal,True,Other ethnic group - Not stated,Male,Criminal Justice and Public Order Act 1994 (section 60),,2019-05-20T21:00:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.535968', 'street': {'id': 964643, 'name': 'On or near Edward Square'}, 'longitude': '-0.117122'}",False,White,Person search,,Anything to threaten or harm anyone
25-34,Community resolution,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-20T20:10:00+00:00,,"{'id': 'bu-community-resolution', 'name': 'Community resolution'}","{'latitude': '51.532630', 'street': {'id': 964998, 'name': 'On or near Harrington Square'}, 'longitude': '-0.138426'}",False,White,Person search,,Controlled drugs
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-20T22:55:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.530581', 'street': {'id': 960961, 'name': ""On or near Gray'S Inn Road""}, 'longitude': '-0.122145'}",False,,Person search,,Stolen goods
over 34,A no further action disposal,True,Other ethnic group - Any other ethnic group,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-20T15:15:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.525418', 'street': {'id': 960588, 'name': 'On or near Further/Higher Educational Building'}, 'longitude': '-0.132189'}",False,,Person search,,Stolen goods
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-20T13:50:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.525084', 'street': {'id': 960650, 'name': 'On or near Tottenham Court Road'}, 'longitude': '-0.138344'}",False,White,Person search,,Controlled drugs
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-20T14:30:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.530581', 'street': {'id': 960961, 'name': ""On or near Gray'S Inn Road""}, 'longitude': '-0.122145'}",False,White,Person search,,Controlled drugs
over 34,Arrest,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-20T18:25:00+00:00,,"{'id': 'bu-arrest', 'name': 'Arrest'}","{'latitude': '51.534835', 'street': {'id': 964936, 'name': 'On or near Unity Mews'}, 'longitude': '-0.132871'}",False,Other,Person search,,Controlled drugs
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-20T18:15:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.524465', 'street': {'id': 960938, 'name': 'On or near Marchmont Street'}, 'longitude': '-0.124891'}",False,Asian,Person search,,Controlled drugs
18-24,A no further action disposal,True,Asian/Asian British - Bangladeshi,Male,Criminal Justice and Public Order Act 1994 (section 60),,2019-05-21T00:05:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.531282', 'street': {'id': 960619, 'name': 'On or near Edward Mews'}, 'longitude': '-0.144709'}",False,Asian,Person and Vehicle search,,Anything to threaten or harm anyone
